URN,LA_name,EstablishmentName,PhaseOfEducation_name,NumberOfPupils,Postcode,Easting,Northing,MSOA_code,LSOA_code
141955,Devon,Trinity Church of England Voluntary Aided Primary and Nursery School,Primary,123,EX2 7GB,295952,90091,E02004163,E01020033
113341,Devon,Two Moors Primary School,Primary,412,EX16 6HH,296176,113365,E02004167,E01020065
139887,Devon,Uffculme Primary School,Primary,218,EX15 3AY,306904,112896,E02004166,E01020063
113331,Devon,Ugborough Primary School,Primary,98,PL21 0NJ,267680,55886,E02004190,E01020160
141847,Devon,Umberleigh Primary Academy,Primary,47,EX37 9AD,261114,123907,E02004187,E01020097
113369,Devon,Uplowman Church of England Primary School,Primary,72,EX16 7DR,301746,115828,E02004169,E01020059
113112,Devon,Upottery Primary School,Primary,104,EX14 9QT,320236,107827,E02004129,E01019938
113434,Devon,Webber's Church of England Primary School,Primary,83,TA21 0PE,305776,118906,E02004164,E01020046
144896,Devon,Wembury Primary School,Primary,199,PL9 0EB,252770,49573,E02004197,E01020185
144070,Devon,West Alvington Church of England Academy,Primary,50,TQ7 3PP,272356,43829,E02004198,E01020189
113132,Devon,West Croft School,Primary,658,EX39 3DE,244905,126027,E02004223,E01020284
113172,Devon,West Down School,Primary,117,EX34 8NF,251390,142078,E02004178,E01020108
113106,Devon,West Hill Primary School,Primary,215,EX11 1UQ,306794,93802,E02004136,E01019940
142390,Devon,Westcliff Primary Academy,Primary,350,EX7 9RA,295482,76482,E02004206,E01020234
142886,Devon,Westclyst Community Primary School,Primary,112,EX1 3YG,296722,95090,E02004134,E01019893
113113,Devon,Whimple Primary School,Primary,147,EX5 2TS,304473,97356,E02004132,E01019962
146600,Devon,Whipton Barton Infants and Nursery School,Primary,100,EX1 3JP,294729,93422,E02004155,E01020037
146578,Devon,Whipton Barton Junior School,Primary,100,EX1 3JP,294785,93390,E02004155,E01020037
113267,Devon,Whitchurch Community Primary School,Primary,217,PL19 9SR,248663,72914,E02004233,E01020338
136563,Devon,Widecombe-in-the-Moor Primary,Primary,73,TQ13 7TB,271790,76781,E02004203,E01020259
137659,Devon,Wilcombe Primary School,Primary,183,EX16 4AL,296818,112428,E02004167,E01020053
113114,Devon,Willand School,Primary,412,EX15 2QL,303648,110923,E02004169,E01020062
145763,Devon,Willowbank Primary School,Primary,298,EX15 1EZ,301640,107044,E02004170,E01020058
132778,Devon,Willowbrook School,Primary,408,EX4 8NN,294686,94061,E02004151,E01019992
113174,Devon,Winkleigh Primary School,Primary,230,EX19 8JQ,263095,107779,E02004226,E01020311
144560,Devon,Witheridge Church of England Primary Academy,Primary,97,EX16 8AH,280659,114199,E02004188,E01020138
113355,Devon,Withycombe Raleigh Church of England Primary School,Primary,619,EX8 3BA,301153,82083,E02004146,E01019922
113477,Devon,Wolborough Church of England (Aided) Nursery and Primary School,Primary,230,TQ12 2JX,286027,71250,E02004214,E01020218
113440,Devon,Woodbury Church of England Primary School,Primary,202,EX5 1EA,301221,87295,E02004141,E01019963
113441,Devon,Woodbury Salterton Church of England Primary School,Primary,77,EX5 1PP,301471,88912,E02004141,E01019945
143412,Devon,Woodlands Park Primary School,Primary,299,PL21 9TF,262465,56408,E02004193,E01020167
139019,Devon,Woodwater Academy,Primary,325,EX2 5AW,294978,91780,E02004159,E01020027
145765,Devon,Woolacombe School,Primary,244,EX34 7BT,246130,143717,E02004178,E01020108
113176,Devon,Woolsery Primary School,Primary,137,EX39 5QS,233125,121007,E02004224,E01020288
134171,Devon,Wynstream School,Primary,385,EX2 6AY,293868,91370,E02004161,E01020010
136635,Devon,Yealmpton Primary School,Primary,164,PL8 2HF,257422,51595,E02004196,E01020190
146531,Devon,Yeo Valley Primary School,Primary,240,EX32 7HB,256208,133584,E02004182,E01020095
145344,Devon,Yeoford Community Primary School,Primary,48,EX17 5HZ,278162,98485,E02004172,E01020082
146567,Devon,Atlantic Academy,Secondary,164,EX39 5DW,235687,122823,E02004224,E01020295
142124,Devon,Atrium Studio School,Secondary,122,TQ13 7EW,276365,70904,E02004217,E01020195
144392,Devon,Axe Valley Academy,Secondary,624,EX13 5EA,329958,98680,E02004133,E01019887
142540,Devon,Bideford College,Secondary,1265,EX39 3AR,244378,126425,E02004223,E01020283
138041,Devon,Braunton Academy,Secondary,715,EX33 2BP,249131,135927,E02004179,E01020089
137024,Devon,Chulmleigh Community College,Secondary,604,EX18 7AA,268614,114681,E02004188,E01020098
136638,Devon,Clyst Vale Community College,Secondary,868,EX5 3AJ,298538,96426,E02004134,E01019892
136366,Devon,Colyton Grammar School,Secondary,911,EX24 6HN,324425,92556,E02004135,E01019900
137176,Devon,Coombeshead Academy,Secondary,989,TQ12 1PT,285341,71830,E02004212,E01020210
113502,Devon,Cullompton Community College,Secondary,691,EX15 1DX,302041,106710,E02004170,E01020055
147643,Devon,Dawlish College,Secondary,500,EX7 0BY,296590,77098,E02004206,E01020228
136612,Devon,Exmouth Community College,Secondary,2236,EX8 3AF,300633,81773,E02004144,E01019910
137228,Devon,Great Torrington School,Secondary,738,EX38 7DJ,250222,119493,E02004225,E01020307
145343,Devon,Holsworthy Community College,Secondary,536,EX22 6JD,234162,104059,E02004227,E01020294
136912,Devon,Honiton Community College,Secondary,739,EX14 1QT,316181,100904,E02004130,E01019932
139682,Devon,Isca,Secondary,835,EX2 6AP,293468,90877,E02004161,E01020010
136336,Devon,Ivybridge Community College,Secondary,2448,PL21 0JA,263900,56514,E02004193,E01020164
113520,Devon,King Edward VI Community College,Secondary,993,TQ9 5JX,279691,61152,E02004191,E01020180
136367,Devon,Kingsbridge Academy,Secondary,1376,TQ7 1PL,273049,43827,E02004198,E01020189
137124,Devon,Newton Abbot College,Secondary,1129,TQ12 2NF,285672,71660,E02004212,E01020219
145337,Devon,Okehampton College,Secondary,1427,EX20 1PW,258975,94905,E02004230,E01020328
136867,Devon,Pilton Community College,Secondary,1170,EX31 1RB,255153,134114,E02004181,E01020132
136646,Devon,Queen Elizabeth's,Secondary,1354,EX17 3LU,282666,100475,E02004174,E01020061
113503,Devon,Sidmouth College,Secondary,736,EX10 9LG,313012,89375,E02004139,E01019952
136569,Devon,South Dartmoor Community College,Secondary,1184,TQ13 7EW,276349,70839,E02004217,E01020195
141749,Devon,South Devon UTC,Secondary,165,TQ12 2QA,286290,71666,E02004214,E01020217
113512,Devon,South Molton Community College,Secondary,613,EX36 4LA,271441,125293,E02004187,E01020135
142805,Devon,St James School,Secondary,905,EX4 8NN,294581,94279,E02004151,E01019992
147401,Devon,St Luke's Church of England School,Secondary,500,EX1 3RD,295660,93514,E02004151,E01020005
113553,Devon,St Peter's Church of England Aided School,Secondary,1270,EX2 5AP,295386,92055,E02004159,E01020026
145336,Devon,Tavistock College,Secondary,1281,PL19 8DD,247445,73539,E02004233,E01020334
136494,Devon,Teign School,Secondary,943,TQ12 3JG,286588,73855,E02004213,E01020256
136495,Devon,"Teignmouth Community School, Exeter Road",Secondary,1027,TQ14 9HZ,293738,73638,E02004208,E01020266
139553,Devon,The Ilfracombe Church of England Academy,Secondary,965,EX34 9JB,252390,147177,E02004175,E01020111
136673,Devon,The King's School,Secondary,1090,EX11 1RA,308904,95323,E02004136,E01019942
146094,Devon,The Park Community School,Secondary,500,EX32 9AX,256446,132026,E02004184,E01020128
113548,Devon,Tiverton High School,Secondary,1216,EX16 6SQ,295118,113431,E02004168,E01020048
136287,Devon,Uffculme School,Secondary,1032,EX15 3AG,306407,112895,E02004166,E01020063
145404,Devon,West Exe School,Secondary,936,EX2 9JU,291375,90856,E02004160,E01019973
